nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
       184, 1.315744400E-01,-1.032246978E-01, 0.000000000E+00, 1.010459474E+00
       185, 4.493506583E-03,-1.032193579E-01, 0.000000000E+00, 1.008059536E+00
       186,-4.982094285E-02,-1.032176726E-01, 0.000000000E+00, 1.002182266E+00
       187, 9.528200897E-02,-1.032161985E-01, 0.000000000E+00, 1.010825819E+00
       188, 4.080667392E-02,-1.032144290E-01, 0.000000000E+00, 1.010613830E+00
       189, 6.499790680E-02,-1.032096851E-01, 0.000000000E+00, 1.010998016E+00
       190,-1.970473019E-02,-1.032061479E-01, 0.000000000E+00, 1.005270646E+00
       191, 1.376192738E-01,-1.032055175E-01, 0.000000000E+00, 1.010408048E+00
       192,-1.074167372E-01,-1.032003588E-01, 0.000000000E+00, 1.000006187E+00
       193, 1.436633095E-01,-1.031969499E-01, 0.000000000E+00, 1.010360115E+00
       194, 1.497102941E-01,-1.031941458E-01, 0.000000000E+00, 1.010315159E+00
       195,-5.582944542E-02,-1.031937576E-01, 0.000000000E+00, 1.001730761E+00
       196, 2.264371850E-02,-1.031930231E-01, 0.000000000E+00, 1.009678763E+00
       197,-1.557210199E-03,-1.031835356E-01, 0.000000000E+00, 1.007410058E+00
       198, 7.104757168E-02,-1.031807041E-01, 0.000000000E+00, 1.010999904E+00
       199, 1.557598387E-01,-1.031713185E-01, 0.000000000E+00, 1.010273485E+00
       200, 3.475289818E-02,-1.031690253E-01, 0.000000000E+00, 1.010376920E+00
       201, 8.922322498E-02,-1.031661315E-01, 0.000000000E+00, 1.010886951E+00
       202,-1.365930498E-02,-1.031651323E-01, 0.000000000E+00, 1.005997463E+00
       203, 2.869861988E-02,-1.031633899E-01, 0.000000000E+00, 1.010063510E+00
       204,-7.608237742E-03,-1.031579296E-01, 0.000000000E+00, 1.006706812E+00
       205, 7.710354730E-02,-1.031570667E-01, 0.000000000E+00, 1.010974078E+00
       206,-6.184189561E-02,-1.031565001E-01, 0.000000000E+00, 1.001332857E+00
       207, 8.316190664E-02,-1.031463677E-01, 0.000000000E+00, 1.010938922E+00
       208, 1.618168517E-01,-1.031186080E-01, 0.000000000E+00, 1.010232898E+00
       209,-6.786042498E-02,-1.030766739E-01, 0.000000000E+00, 1.000993834E+00
       210,-9.187275970E-02,-1.030401178E-01, 0.000000000E+00, 1.000178216E+00
       211, 1.678801197E-01,-1.030294643E-01, 0.000000000E+00, 1.010196345E+00
       212, 1.861319943E-01,-1.029972145E-01, 0.000000000E+00, 1.010095999E+00
       213, 1.739515100E-01,-1.029771432E-01, 0.000000000E+00, 1.010161416E+00
       214, 2.070346398E-01,-1.029470763E-01, 0.000000000E+00, 1.009987024E+00
