nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
      3647, 5.007709212E-04,-1.017651799E-02, 0.000000000E+00, 1.300049506E-01
      3648,-5.169934024E-04,-1.017572439E-02, 0.000000000E+00, 2.392400420E-01
      3649, 1.273651111E-03,-1.016780964E-02, 0.000000000E+00, 9.194448779E-02
      3650,-1.290677028E-03,-1.016563573E-02, 0.000000000E+00, 4.241924466E-01
      3651,-3.647667179E-03,-1.016487554E-02, 0.000000000E+00, 1.127813684E+00
      3652, 7.558542703E-04,-1.016097791E-02, 0.000000000E+00, 1.040912475E-01
      3653,-7.721286993E-04,-1.015980105E-02, 0.000000000E+00, 2.677316461E-01
      3654, 1.796486982E-03,-1.015885816E-02, 0.000000000E+00, 8.139653203E-02
      3655,-1.812608162E-03,-1.015573451E-02, 0.000000000E+00, 6.343798416E-01
      3656,-5.300062201E-03,-1.015519809E-02, 0.000000000E+00, 1.121968054E+00
      3657,-2.341460810E-03,-1.015308903E-02, 0.000000000E+00, 8.411921445E-01
      3658,-3.228180612E-03,-1.015206576E-02, 0.000000000E+00, 1.070969855E+00
      3659, 2.650104102E-03,-1.014304663E-02, 0.000000000E+00, 6.652353791E-02
      3660,-8.046282097E-06,-1.014077499E-02, 0.000000000E+00, 1.291083708E-01
      3661, 1.011095920E-03,-1.013897838E-02, 0.000000000E+00, 7.937756339E-02
      3662, 2.448888352E-04,-1.013789305E-02, 0.000000000E+00, 1.082163270E-01
      3663,-2.610041675E-04,-1.013749901E-02, 0.000000000E+00, 1.503178018E-01
      3664,-1.027668478E-03,-1.013737846E-02, 0.000000000E+00, 2.955281601E-01
      3665, 2.320544494E-03,-1.013552505E-02, 0.000000000E+00, 6.087065814E-02
      3666, 1.530038938E-03,-1.013229744E-02, 0.000000000E+00, 6.459555359E-02
      3667,-3.318982615E-03,-1.013162467E-02, 0.000000000E+00, 1.078423611E+00
      3668,-1.546717754E-03,-1.012957773E-02, 0.000000000E+00, 4.539978206E-01
      3669, 4.984425109E-04,-1.012875656E-02, 0.000000000E+00, 8.802992295E-02
      3670,-5.145905942E-04,-1.012796223E-02, 0.000000000E+00, 1.719366441E-01
      3671,-3.949742066E-02,-1.012670477E-02, 0.000000000E+00, 9.810373846E-01
      3672, 4.369475417E-03,-1.012014845E-02, 0.000000000E+00, 6.375753509E-02
      3673,-1.074666502E-02,-1.011911483E-02, 0.000000000E+00, 8.937261065E-01
      3674, 6.457733808E-02,-1.011705457E-02, 0.000000000E+00, 8.219671985E-01
      3675,-7.792226396E-03,-1.011374738E-02, 0.000000000E+00, 9.791689970E-01
      3676, 7.523241308E-04,-1.011323277E-02, 0.000000000E+00, 6.859563213E-02
      3677,-7.685206500E-04,-1.011204999E-02, 0.000000000E+00, 1.945245670E-01
      3678, 2.583255037E-03,-1.011058693E-02, 0.000000000E+00, 4.477730722E-02
      3679, 1.266465136E-03,-1.011041854E-02, 0.000000000E+00, 5.670891667E-02
      3680, 2.050001171E-03,-1.011046395E-02, 0.000000000E+00, 4.910867761E-02
      3681,-2.711415093E-03,-1.010982286E-02, 0.000000000E+00, 9.233796307E-01
      3682,-1.283381664E-03,-1.010826486E-02, 0.000000000E+00, 3.216999720E-01
      3683,-2.065947042E-03,-1.010702880E-02, 0.000000000E+00, 6.630601553E-01
      3684,-8.014181358E-06,-1.010114936E-02, 0.000000000E+00, 8.767098111E-02
      3685, 2.439385058E-04,-1.009825762E-02, 0.000000000E+00, 7.239680407E-02
      3686,-2.599907420E-04,-1.009786285E-02, 0.000000000E+00, 1.033146213E-01
      3687, 4.563336343E-03,-1.009704981E-02, 0.000000000E+00, 6.597941372E-02
      3688, 6.267910910E-03,-1.009697670E-02, 0.000000000E+00, 8.179439220E-02
