nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
       114,-1.029113456E-01,-1.070322893E-01, 0.000000000E+00, 1.000021528E+00
       115, 1.975930297E-01,-1.070004849E-01, 0.000000000E+00, 1.006737709E+00
       116,-9.741484604E-02,-1.067854762E-01, 0.000000000E+00, 1.000065242E+00
       117,-9.169267537E-02,-1.066157022E-01, 0.000000000E+00, 1.000137762E+00
       118,-4.381536888E-02,-1.065567334E-01, 0.000000000E+00, 1.002102182E+00
       119,-3.779652219E-02,-1.065561623E-01, 0.000000000E+00, 1.002527199E+00
       120,-3.177003808E-02,-1.065538465E-01, 0.000000000E+00, 1.003007982E+00
       121,-4.982797373E-02,-1.065531208E-01, 0.000000000E+00, 1.001698243E+00
       122, 1.134382710E-01,-1.065495707E-01, 0.000000000E+00, 1.007333670E+00
       123,-5.584132183E-02,-1.065482033E-01, 0.000000000E+00, 1.001348405E+00
       124, 1.194873886E-01,-1.065478109E-01, 0.000000000E+00, 1.007271268E+00
       125, 1.073867136E-01,-1.065471716E-01, 0.000000000E+00, 1.007401193E+00
       126,-2.573359931E-02,-1.065470388E-01, 0.000000000E+00, 1.003511764E+00
       127, 5.290566086E-02,-1.065456146E-01, 0.000000000E+00, 1.007856886E+00
       128, 1.255352575E-01,-1.065454037E-01, 0.000000000E+00, 1.007208672E+00
       129, 5.895883248E-02,-1.065435372E-01, 0.000000000E+00, 1.007863387E+00
       130, 4.684946926E-02,-1.065426774E-01, 0.000000000E+00, 1.007815354E+00
       131, 1.013281184E-01,-1.065424048E-01, 0.000000000E+00, 1.007474885E+00
       132, 1.315811146E-01,-1.065422068E-01, 0.000000000E+00, 1.007151397E+00
       133, 1.376232100E-01,-1.065397429E-01, 0.000000000E+00, 1.007098750E+00
       134, 1.054123460E-02,-1.065394001E-01, 0.000000000E+00, 1.006473584E+00
       135,-1.969232592E-02,-1.065387859E-01, 0.000000000E+00, 1.004035120E+00
       136, 6.500702733E-02,-1.065383307E-01, 0.000000000E+00, 1.007846104E+00
       137, 1.659832782E-02,-1.065373632E-01, 0.000000000E+00, 1.006843612E+00
       138, 4.484790650E-03,-1.065369056E-01, 0.000000000E+00, 1.006062646E+00
       139, 4.079302398E-02,-1.065369924E-01, 0.000000000E+00, 1.007728472E+00
       140, 1.436662942E-01,-1.065371016E-01, 0.000000000E+00, 1.007050568E+00
       141, 9.526797883E-02,-1.065344926E-01, 0.000000000E+00, 1.007546633E+00
       142,-6.186372200E-02,-1.065340459E-01, 0.000000000E+00, 1.001041719E+00
       143, 1.497150092E-01,-1.065330646E-01, 0.000000000E+00, 1.007005969E+00
       144, 2.265395260E-02,-1.065329265E-01, 0.000000000E+00, 1.007159423E+00
       145,-1.566112683E-03,-1.065323261E-01, 0.000000000E+00, 1.005590949E+00
