nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude,      x-velocity,      y-velocity,      z-velocity
      8587,-7.534219930E-04, 1.028887786E-02, 0.000000000E+00, 1.244116559E-01, 1.239031450E-01, 1.114019799E-02, 0.000000000E+00
      8588, 4.345254527E-02, 1.029433214E-02, 0.000000000E+00, 6.194961989E-01, 6.184410037E-01,-3.609134687E-02, 0.000000000E+00
      8589, 5.354376493E-04, 1.030210478E-02, 0.000000000E+00, 1.067596930E-01, 1.067116875E-01,-2.954620498E-03, 0.000000000E+00
      8590,-4.950827776E-04, 1.030410679E-02, 0.000000000E+00, 1.225724289E-01, 1.222938637E-01, 8.132854041E-03, 0.000000000E+00
      8591, 3.784630712E-02, 1.030513262E-02, 0.000000000E+00, 5.915935345E-01, 5.899620613E-01,-4.374761232E-02, 0.000000000E+00
      8592, 1.321546925E-03, 1.030905761E-02, 0.000000000E+00, 1.188176227E-01, 1.182639082E-01,-1.139402257E-02, 0.000000000E+00
      8593,-3.047437091E-03, 1.030990049E-02, 0.000000000E+00, 3.069357252E-01, 2.936039390E-01, 8.941747329E-02, 0.000000000E+00
      8594, 2.774370040E-04, 1.031185888E-02, 0.000000000E+00, 1.099588747E-01, 1.099493046E-01,-5.228753257E-04, 0.000000000E+00
      8595, 1.603469939E-03, 1.031260242E-02, 0.000000000E+00, 1.318793724E-01, 1.310398662E-01,-1.475263877E-02, 0.000000000E+00
      8596,-2.371574032E-04, 1.031285480E-02, 0.000000000E+00, 1.191454335E-01, 1.190267074E-01, 5.107570288E-03, 0.000000000E+00
      8597,-3.219219462E-03, 1.031312490E-02, 0.000000000E+00, 3.368361594E-01, 3.206458642E-01, 1.030997689E-01, 0.000000000E+00
      8598, 2.010226296E-05, 1.031537898E-02, 0.000000000E+00, 1.149256347E-01, 1.148963192E-01, 2.187234455E-03, 0.000000000E+00
      8599, 5.008743125E-03, 1.031829376E-02, 0.000000000E+00, 2.227890613E-01, 2.146461012E-01,-5.940544182E-02, 0.000000000E+00
      8600,-1.765173263E-03, 1.031896016E-02, 0.000000000E+00, 2.004436474E-01, 1.969690959E-01, 3.709940878E-02, 0.000000000E+00
      8601, 1.768184789E-03, 1.032193593E-02, 0.000000000E+00, 1.332811475E-01, 1.322726815E-01,-1.630210541E-02, 0.000000000E+00
      8602,-1.546858341E-03, 1.032324525E-02, 0.000000000E+00, 1.797784040E-01, 1.773676108E-01, 2.929471731E-02, 0.000000000E+00
      8603, 4.829381739E-03, 1.033135066E-02, 0.000000000E+00, 2.094217401E-01, 2.018089422E-01,-5.569581190E-02, 0.000000000E+00
      8604, 7.289131628E-03, 1.033564605E-02, 0.000000000E+00, 2.689907633E-01, 2.578989746E-01,-7.615816946E-02, 0.000000000E+00
      8605,-3.599855970E-03, 1.033863454E-02, 0.000000000E+00, 3.817451133E-01, 3.598747793E-01, 1.272997162E-01, 0.000000000E+00
      8606,-1.283428352E-03, 1.034321704E-02, 0.000000000E+00, 1.750747731E-01, 1.733365707E-01, 2.455588195E-02, 0.000000000E+00
