nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude,      x-velocity,      y-velocity,      z-velocity
      6681,-1.102062401E-02, 3.183610787E-03, 0.000000000E+00, 1.874807991E-01, 1.217044090E-01, 1.422862291E-01, 0.000000000E+00
      6682, 1.309136053E-02, 3.188912655E-03, 0.000000000E+00, 5.352570595E-02, 4.599621263E-02,-2.724089131E-02, 0.000000000E+00
      6683,-1.013301308E-01, 3.194293411E-03, 0.000000000E+00, 9.997542619E-01, 9.997542552E-01, 8.190210125E-05, 0.000000000E+00
      6684,-9.808442050E-03, 3.200630035E-03, 0.000000000E+00, 5.647903223E-02, 2.274863394E-02, 5.168661489E-02, 0.000000000E+00
      6685, 1.113442424E-02, 3.201651634E-03, 0.000000000E+00, 2.198891883E-02, 1.519773050E-02,-1.586213015E-02, 0.000000000E+00
      6686, 9.912587471E-03, 3.204149917E-03, 0.000000000E+00, 5.139998383E-03, 2.393826993E-03,-4.546104328E-03, 0.000000000E+00
      6687,-9.805329520E-02, 3.206398537E-03, 0.000000000E+00, 9.995323676E-01, 9.995323568E-01, 1.203069256E-04, 0.000000000E+00
      6688,-1.389155083E-02, 3.213697357E-03, 0.000000000E+00, 4.259162843E-01, 3.995823497E-01, 1.458459753E-01, 0.000000000E+00
      6689, 1.025776080E-02, 3.221828953E-03, 0.000000000E+00, 9.465519853E-03, 5.152365754E-03,-7.934665101E-03, 0.000000000E+00
      6690,-9.981282552E-03, 3.223646262E-03, 0.000000000E+00, 8.470352620E-02, 3.856272749E-02, 7.535087150E-02, 0.000000000E+00
      6691, 1.064235748E-02, 3.229443049E-03, 0.000000000E+00, 1.479527821E-02, 9.132566720E-03,-1.162613087E-02, 0.000000000E+00
      6692,-9.928413650E-03, 3.248084545E-03, 0.000000000E+00, 7.392967114E-02, 3.218228355E-02, 6.651439101E-02, 0.000000000E+00
      6693, 7.430438764E-02, 3.250268813E-03, 0.000000000E+00, 6.957713467E-01, 6.957420904E-01,-5.729155102E-03, 0.000000000E+00
      6694,-1.153258688E-02, 3.273858899E-03, 0.000000000E+00, 2.414085920E-01, 1.791448988E-01, 1.612307076E-01, 0.000000000E+00
      6695,-9.106863022E-02, 3.276203715E-03, 0.000000000E+00, 9.988423634E-01, 9.988423276E-01, 2.052183005E-04, 0.000000000E+00
      6696, 9.941782833E-03, 3.297750524E-03, 0.000000000E+00, 6.115455535E-03, 2.971567816E-03,-5.342355657E-03, 0.000000000E+00
      6697, 1.432601178E-02, 3.302418846E-03, 0.000000000E+00, 8.529917973E-02, 7.806288071E-02,-3.414980941E-02, 0.000000000E+00
      6698, 1.220866354E-02, 3.304017537E-03, 0.000000000E+00, 4.070474454E-02, 3.264550996E-02,-2.424388718E-02, 0.000000000E+00
      6699,-8.764743065E-02, 3.307324974E-03, 0.000000000E+00, 9.983454973E-01, 9.983454507E-01, 2.520490674E-04, 0.000000000E+00
      6700, 9.434199948E-03, 3.313622798E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
      6701, 1.113352620E-01, 3.315748092E-03, 0.000000000E+00, 7.860128106E-01, 7.860060990E-01,-2.807555472E-03, 0.000000000E+00
      6702, 9.452108560E-03, 3.319912792E-03, 0.000000000E+00, 2.323058752E-04, 7.942455051E-05,-2.182851732E-04, 0.000000000E+00
      6703, 9.473639378E-03, 3.327475317E-03, 0.000000000E+00, 5.045469091E-04, 1.766623304E-04,-4.725632147E-04, 0.000000000E+00
      6704, 9.499534553E-03, 3.336571997E-03, 0.000000000E+00, 8.380249596E-04, 3.017390948E-04,-7.817407192E-04, 0.000000000E+00
      6705,-1.019216976E-02, 3.340975113E-03, 0.000000000E+00, 1.150621267E-01, 5.792158108E-02, 9.932646949E-02, 0.000000000E+00
      6706,-9.424482528E-03, 3.341141664E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
      6707, 1.046750793E-02, 3.341641494E-03, 0.000000000E+00, 1.306346573E-02, 7.695046043E-03,-1.054545001E-02, 0.000000000E+00
      6708,-1.278782932E-02, 3.345887519E-03, 0.000000000E+00, 3.520129281E-01, 3.073610569E-01, 1.703000911E-01, 0.000000000E+00
      6709,-4.799435302E-02, 3.346159467E-03, 0.000000000E+00, 9.750891626E-01, 9.750845042E-01, 2.795961826E-03, 0.000000000E+00
      6710,-9.442405436E-03, 3.347495478E-03, 0.000000000E+00, 3.941360820E-03, 1.344736821E-03, 3.704532313E-03, 0.000000000E+00
      6711, 9.530692791E-03, 3.347519269E-03, 0.000000000E+00, 1.248017530E-03, 4.642715956E-04,-1.158328259E-03, 0.000000000E+00
      6712, 1.685508863E-02, 3.349846655E-03, 0.000000000E+00, 1.355023616E-01, 1.305763890E-01,-3.578962560E-02, 0.000000000E+00
      6713,-9.463953349E-03, 3.355134762E-03, 0.000000000E+00, 8.439929374E-03, 2.922971065E-03, 7.916929237E-03, 0.000000000E+00
      6714, 1.149010241E-02, 3.358768478E-03, 0.000000000E+00, 2.913799527E-02, 2.142732361E-02,-1.970052336E-02, 0.000000000E+00
      6715, 9.568204066E-03, 3.360701150E-03, 0.000000000E+00, 1.754187199E-03, 6.772988923E-04,-1.617980061E-03, 0.000000000E+00
      6716, 1.011298175E-02, 3.362472387E-03, 0.000000000E+00, 8.461826359E-03, 4.449440574E-03,-7.193025112E-03, 0.000000000E+00
      6717,-9.489868881E-03, 3.364324022E-03, 0.000000000E+00, 1.378443850E-02, 4.864156952E-03, 1.289658287E-02, 0.000000000E+00
      6718,-9.521051352E-03, 3.375383087E-03, 0.000000000E+00, 2.012335237E-02, 7.266957166E-03, 1.876378962E-02, 0.000000000E+00
      6719, 9.613393097E-03, 3.376584696E-03, 0.000000000E+00, 2.382026625E-03, 9.589640993E-04,-2.180202762E-03, 0.000000000E+00
      6720, 1.090405534E-02, 3.384130552E-03, 0.000000000E+00, 1.984712168E-02, 1.314023497E-02,-1.484671871E-02, 0.000000000E+00
      6721,-9.558591480E-03, 3.388700157E-03, 0.000000000E+00, 2.762730283E-02, 1.025501590E-02, 2.565126333E-02, 0.000000000E+00
      6722, 9.667873864E-03, 3.395739454E-03, 0.000000000E+00, 3.165021667E-03, 1.336629099E-03,-2.868514834E-03, 0.000000000E+00
      6723,-1.223847731E-02, 3.398421941E-03, 0.000000000E+00, 3.133321921E-01, 2.609723848E-01, 1.725970551E-01, 0.000000000E+00
      6724,-9.603814886E-03, 3.404747473E-03, 0.000000000E+00, 3.649062808E-02, 1.398659002E-02, 3.370070277E-02, 0.000000000E+00
      6725, 9.733618503E-03, 3.418862117E-03, 0.000000000E+00, 4.268875889E-03, 1.914200456E-03,-3.814791808E-03, 0.000000000E+00
      6726,-9.658336644E-03, 3.424101050E-03, 0.000000000E+00, 4.693476702E-02, 1.868787212E-02, 4.304949590E-02, 0.000000000E+00
      6727,-1.060216295E-02, 3.424231923E-03, 0.000000000E+00, 1.687893835E-01, 9.984328424E-02, 1.359228877E-01, 0.000000000E+00
      6728, 8.584742905E-02, 3.431253108E-03, 0.000000000E+00, 7.309710156E-01, 7.309525987E-01,-4.636886673E-03, 0.000000000E+00
      6729,-1.093757608E-02, 3.433769103E-03, 0.000000000E+00, 1.984506443E-01, 1.275765121E-01, 1.516308494E-01, 0.000000000E+00
